Conference,Year,Title,DOI,id,cite_to_list,cited_by_list,Link,FirstPage,LastPage,PaperType,Abstract,AuthorNames-Deduped,AuthorNames,AuthorAffiliation,InternalReferences,AuthorKeywords,AminerCitationCount_02-2020,XploreCitationCount - 2020-01,PubsCited,Award
InfoVis,2004,VIM: A Framework for Intelligence Analysis,10.1109/INFVIS.2004.72,217,[],[],http://dx.doi.org/10.1109/INFVIS.2004.72,22,22,M,"Intelligence analysts receive thousands of facts from a variety of sources. In addition to the bare details of the fact — a particular person, for example — each fact may have provenance, reliability, weight, and other attributes. Each fact may also be associated with other facts, e.g. that one person met another at a particular location. The analyst’s task is to examine a huge collection of such loosely-structured facts, and try to ""connect the dots"" to perceive the underlying and unknown causes — and their possible future courses. We have designed and implemented a Java platform called VIM to support intelligence analysts in their work.",Alan Keahey;Kenneth C. Cox,T.A. Keahey;K.C. Cox,Visintuit LLC,,,,0.0,5.0,
VAST,2006,"Toward a Multi-Analyst, Collaborative Framework for Visual Analytics",10.1109/VAST.2006.261439,303,[],"[356, 358, 473, 608, 1043, 1458, 1475]",http://dx.doi.org/10.1109/VAST.2006.261439,129,136,C,"We describe a framework for the display of complex, multidimensional data, designed to facilitate exploration, analysis, and collaboration among multiple analysts. This framework aims to support human collaboration by making it easier to share representations, to translate from one point of view to another, to explain arguments, to update conclusions when underlying assumptions change, and to justify or account for decisions or actions. Multidimensional visualization techniques are used with interactive, context-sensitive, and tunable graphs. Visual representations are flexibly generated using a knowledge representation scheme based on annotated logic; this enables not only tracking and fusing different viewpoints, but also unpacking them. Fusing representations supports the creation of multidimensional meta-displays as well as the translation or mapping from one point of view to another. At the same time, analysts also need to be able to unpack one another's complex chains of reasoning, especially if they have reached different conclusions, and to determine the implications, if any, when underlying assumptions or evidence turn out to be false. The framework enables us to support a variety of scenarios as well as to systematically generate and test experimental hypotheses about the impact of different kinds of visual representations upon interactive collaboration by teams of distributed analysts",Susan Brennan;Klaus Mueller;Gregory J. Zelinsky;I. V. Ramakrishnan;David Scott Warren;Arie E. Kaufman,Susan E. Brennan;Klaus Mueller;Greg Zelinsky;IV Ramakrishnan;David S. Warren;Arie Kaufman,"Stony Brook University, Psychology Department, Stony Brook University, Stony Brook, NY 11794-3300, susan.brennan@sunysb.edu;Stony Brook University, Computer Science Department, Stony Brook University, Stony Brook, NY 11794-4400. mueller@cs.sunysb.edu;Stony Brook University, Psychology Department, Stony Brook University, Stony Brook, NY 11794-3300, gzelinsky@ms.cc.sunysb.edu;Stony Brook University, Computer Science Department, Stony Brook University, Stony Brook, NY 11794-4400. ram@cs.sunysb.edu;Stony Brook University, Computer Science Department, Stony Brook University, Stony Brook, NY 11794-4400. warren@cs.sunysb.edu;Stony Brook University, Computer Science Department, Stony Brook University, Stony Brook, NY 11794-4400. ari@cs.sunysb.edu",,"visual analytics, collaborative and distributed visualization, data management and knowledge representation, visual knowledge discovery",32.0,25.0,25.0,
VAST,2007,Jigsaw: Supporting Investigative Analysis through Interactive Visualization,10.1109/VAST.2007.4389006,351,"[296, 182, 6]","[383, 392, 402, 419, 420, 424, 428, 463, 480, 501, 502, 507, 516, 523, 524, 525, 527, 604, 608, 613, 616, 617, 673, 675, 677, 695, 697, 766, 790, 797, 811, 826, 831, 832, 864, 865, 928, 947, 948, 953, 956, 1040, 1042, 1043, 1052, 1054, 1059, 1071, 1096, 1097, 1169, 1171, 1185, 1196, 1200, 1362, 1427, 1458, 1464, 1475, 1521]",http://dx.doi.org/10.1109/VAST.2007.4389006,131,138,C,"Investigative analysts who work with collections of text documents connect embedded threads of evidence in order to formulate hypotheses about plans and activities of potential interest. As the number of documents and the corresponding number of concepts and entities within the documents grow larger, sense-making processes become more and more difficult for the analysts. We have developed a visual analytic system called Jigsaw that represents documents and their entities visually in order to help analysts examine reports more efficiently and develop theories about potential actions more quickly. Jigsaw provides multiple coordinated views of document entities with a special emphasis on visually illustrating connections between entities across the different documents.",John T. Stasko;Carsten Görg;Zhicheng Liu;Kanupriya Singhal,John Stasko;Carsten Gorg;Zhicheng Liu;Kanupriya Singhal,"School of Interactive Computing & GVU Center, Georgia Institute of Technology. e-mail: stasko@cc.gatech.edu;School of Interactive Computing & GVU Center, Georgia Institute of Technology. e-mail: goerg@cc.gatech.edu;School of Interactive Computing & GVU Center, Georgia Institute of Technology. e-mail: zcliu@cc.gatech.edu;School of Interactive Computing & GVU Center, Georgia Institute of Technology. e-mail: ksinghal@cc.gatech.edu",10.1109/INFVIS.1995.528686;10.1109/INFVIS.2004.27;10.1109/VAST.2006.261432,"Visual analytics, investigative analysis, intelligence analysis, information visualization, multiple views",108.0,64.0,24.0,TT
VAST,2008,Collaborative synthesis of visual analytic results,10.1109/VAST.2008.4677358,416,"[320, 329, 356]","[485, 524, 551, 607, 608, 675, 683, 865, 930, 941, 1040, 1043, 1232, 1464]",http://dx.doi.org/10.1109/VAST.2008.4677358,67,74,C,"Visual analytic tools allow analysts to generate large collections of useful analytical results. We anticipate that analysts in most real world situations will draw from these collections when working together to solve complicated problems. This indicates a need to understand how users synthesize multiple collections of results. This paper reports the results of collaborative synthesis experiments conducted with expert geographers and disease biologists. Ten participants were worked in pairs to complete a simulated real-world synthesis task using artifacts printed on cards on a large, paper-covered workspace. Experiment results indicate that groups use a number of different approaches to collaborative synthesis, and that they employ a variety of organizational metaphors to structure their information. It is further evident that establishing common ground and role assignment are critical aspects of collaborative synthesis. We conclude with a set of general design guidelines for collaborative synthesis support tools.",Anthony C. Robinson,Anthony C. Robinson,"GeoVISTA Center, Department of Geography, The Pennsylvania State University, USA",10.1109/VAST.2007.4389011;10.1109/TVCG.2007.70594;10.1109/TVCG.2007.70568,"Movement data, spatio-temporal data, aggregation, scalable visualization, geovisualization",65.0,41.0,17.0,
VAST,2008,Characterizing users' visual analytic activity for insight provenance,10.1109/VAST.2008.4677365,423,"[323, 294, 167, 107, 238, 176, 337, 21, 60]","[501, 502, 550, 551, 607, 609, 624, 683, 698, 761, 864, 868, 872, 880, 1040, 1054, 1172, 1179, 1181, 1278, 1288, 1370, 1375, 1415, 1458, 1486, 1559, 1565, 1566]",http://dx.doi.org/10.1109/VAST.2008.4677365,123,130,C,"Insight provenance - a historical record of the process and rationale by which an insight is derived - is an essential requirement in many visual analytics applications. While work in this area has relied on either manually recorded provenance (e.g., user notes) or automatically recorded event-based insight provenance (e.g., clicks, drags, and key-presses), both approaches have fundamental limitations. Our aim is to develop a new approach that combines the benefits of both approaches while avoiding their deficiencies. Toward this goal, we characterize userspsila visual analytic activity at multiple levels of granularity. Moreover, we identify a critical level of abstraction, Actions, that can be used to represent visual analytic activity with a set of general but semantically meaningful behavior types. In turn, the action types can be used as the semantic building blocks for insight provenance. We present a catalog of common actions identified through observations of several different visual analytic systems. In addition, we define a taxonomy to categorize actions into three major classes based on their semantic intent. The concept of actions has been integrated into our labpsilas prototype visual analytic system, HARVEST, as the basis for its insight provenance capabilities.",David Gotz;Michelle X. Zhou,David Gotz;Michelle X. Zhou,"IBM T.J. Watson Research Center, USA;IBM T.J. Watson Research Center, USA",10.1109/INFVIS.2004.2;10.1109/INFVIS.1996.559213;10.1109/TVCG.2007.70577;10.1109/VISUAL.2005.1532788;10.1109/VAST.2007.4388992;10.1109/INFVIS.2005.1532136;10.1109/INFVIS.1998.729560;10.1109/INFVIS.2004.10;10.1109/VAST.2006.261430;10.1109/INFVIS.2000.885092;10.1109/VISUAL.1990.146375;10.1109/VISUAL.2002.1183791,"Taxonomy, Information Visualization, Analytic Activity, Visual Analytics, Insight Provenance",125.0,34.0,29.0,
VAST,2009,Capturing and supporting the analysis process,10.1109/VAST.2009.5333020,501,"[420, 389, 423, 238, 176, 337, 307, 346, 347, 351]","[607, 692, 698, 738, 864, 947, 1045, 1172, 1177, 1179, 1273, 1278, 1464]",http://dx.doi.org/10.1109/VAST.2009.5333020,131,138,C,"Visual analytics tools provide powerful visual representations in order to support the sense-making process. In this process, analysts typically iterate through sequences of steps many times, varying parameters each time. Few visual analytics tools support this process well, nor do they provide support for visualizing and understanding the analysis process itself. To help analysts understand, explore, reference, and reuse their analysis process, we present a visual analytics system named CzSaw (See-Saw) that provides an editable and re-playable history navigation channel in addition to multiple visual representations of document collections and the entities within them (in a manner inspired by Jigsaw). Conventional history navigation tools range from basic undo and redo to branching timelines of user actions. In CzSaw's approach to this, first, user interactions are translated into a script language that drives the underlying scripting-driven propagation system. The latter allows analysts to edit analysis steps, and ultimately to program them. Second, on this base, we build both a history view showing progress and alternative paths, and a dependency graph showing the underlying logic of the analysis and dependency relations among the results of each step. These tools result in a visual model of the sense-making process, providing a way for analysts to visualize their analysis process, to reinterpret the problem, explore alternative paths, extract analysis patterns from existing history, and reuse them with other related analyses.",Nazanin Kadivar;Victor Y. Chen;Dustin Dunsmuir;Eric Lee;Cheryl Z. Qian;John Dill;Chris Shaw 0002;Robert F. Woodbury,Nazanin Kadivar;Victor Chen;Dustin Dunsmuir;Eric Lee;Cheryl Qian;John Dill;Christopher Shaw;Robert Woodbury,"School of Interactive Arts and Technology, Simon Fraser University, Canada;School of Interactive Arts and Technology, Simon Fraser University, Canada;School of Interactive Arts and Technology, Simon Fraser University, Canada;School of Interactive Arts and Technology, Simon Fraser University, Canada;School of Interactive Arts and Technology, Simon Fraser University, Canada;School of Interactive Arts and Technology, Simon Fraser University, Canada;School of Interactive Arts and Technology, Simon Fraser University, Canada;School of Interactive Arts and Technology, Simon Fraser University, Canada",10.1109/INFVIS.2005.1532136;10.1109/VAST.2008.4677362;10.1109/VAST.2007.4388992;10.1109/TVCG.2008.137;10.1109/VAST.2007.4389006;10.1109/VAST.2008.4677365;10.1109/INFVIS.2004.2;10.1109/VAST.2007.4389002;10.1109/TVCG.2007.70515;10.1109/VAST.2007.4389001,"Visual Analytics, Sense-making, Analysis Process, Visual History",54.0,33.0,28.0,
VAST,2009,Connecting the dots in visual analysis,10.1109/VAST.2009.5333023,502,"[356, 420, 423, 296, 351]","[607, 683, 738, 1040, 1185, 1288]",http://dx.doi.org/10.1109/VAST.2009.5333023,123,130,C,"During visual analysis, users must often connect insights discovered at various points of time. This process is often called ldquoconnecting the dots.rdquo When analysts interactively explore complex datasets over multiple sessions, they may uncover a large number of findings. As a result, it is often difficult for them to recall the past insights, views and concepts that are most relevant to their current line of inquiry. This challenge is even more difficult during collaborative analysis tasks where they need to find connections between their own discoveries and insights found by others. In this paper, we describe a context-based retrieval algorithm to identify notes, views and concepts from users' past analyses that are most relevant to a view or a note based on their line of inquiry. We then describe a related notes recommendation feature that surfaces the most relevant items to the user as they work based on this algorithm. We have implemented this recommendation feature in HARVEST, a Web based visual analytic system. We evaluate the related notes recommendation feature of HARVEST through a case study and discuss the implications of our approach.",Yedendra Babu Shrinivasan;David Gotz;Jie Lu,Yedendra B. Shrinivasan;David Gotzy;Jie Lu,"Eindhoven University of Technology, The Netherlands;IBM Research, USA;IBM Research, USA",10.1109/VAST.2008.4677362;10.1109/VAST.2007.4389006;10.1109/VAST.2007.4389011;10.1109/VAST.2006.261432;10.1109/VAST.2008.4677365,,28.0,12.0,20.0,
VAST,2010,A closer look at note taking in the co-located collaborative visual analytics process,10.1109/VAST.2010.5652879,607,"[416, 320, 323, 389, 423, 501, 502]","[683, 1040, 1288]",http://dx.doi.org/10.1109/VAST.2010.5652879,171,178,C,"This paper highlights the important role that record-keeping (i.e. taking notes and saving charts) plays in collaborative data analysis within the business domain. The discussion of record-keeping is based on observations from a user study in which co-located teams worked on collaborative visual analytics tasks using large interactive wall and tabletop displays. Part of our findings is a collaborative data analysis framework that encompasses note taking as one of the main activities. We observed that record-keeping was a critical activity within the analysis process. Based on our observations, we characterize notes according to their content, scope, and usage, and describe how they fit into a process of collaborative data analysis. We then discuss suggestions for the design of collaborative visual analytics tools.",Narges Mahyar;Ali Sarvghad;Melanie Tory,Narges Mahyar;Ali Sarvghad;Melanie Tory,University of Victoria;University of Victoria;University of Victoria,10.1109/TVCG.2008.137;10.1109/VAST.2008.4677358;10.1109/TVCG.2007.70568;10.1109/VAST.2009.5333020;10.1109/VAST.2008.4677365;10.1109/VAST.2009.5333023;10.1109/TVCG.2007.70577,"note taking, recording, collaboration, tabletop, wall display, history, provenance",14.0,8.0,33.0,
VAST,2011,Supporting effective common ground construction in Asynchronous Collaborative Visual Analytics,10.1109/VAST.2011.6102447,683,"[416, 609, 323, 356, 423, 617, 267, 502, 316, 607]","[738, 938, 1043, 1288, 1464, 1565]",http://dx.doi.org/10.1109/VAST.2011.6102447,101,110,C,"Asynchronous Collaborative Visual Analytics (ACVA) leverages group sensemaking by releasing the constraints on when, where, and who works collaboratively. A significant task to be addressed before ACVA can reach its full potential is effective common ground construction, namely the process in which users evaluate insights from individual work to develop a shared understanding of insights and collectively pool them. This is challenging due to the lack of instant communication and scale of collaboration in ACVA. We propose a novel visual analytics approach that automatically gathers, organizes, and summarizes insights to form common ground with reduced human effort. The rich set of visualization and interaction techniques provided in our approach allows users to effectively and flexibly control the common ground construction and review, explore, and compare insights in detail. A working prototype of the approach has been implemented. We have conducted a case study and a user study to demonstrate its effectiveness.",Yang Chen;Jamal Alsakran;Scott Barlowe;Jing Yang 0001;Ye Zhao,Yang Chen;Jamal Alsakran;Scott Barlowe;Jing Yang;Ye Zhao,"University of North Carolina at Charlotte, USA;Kent State University, USA;University of North Carolina at Charlotte, USA;University of North Carolina at Charlotte, USA;Kent State University, USA",10.1109/TVCG.2007.70541;10.1109/VAST.2009.5333023;10.1109/TVCG.2007.70577;10.1109/VAST.2010.5652879;10.1109/VAST.2008.4677358;10.1109/VAST.2010.5652932;10.1109/VAST.2007.4389011;10.1109/VAST.2008.4677365;10.1109/TVCG.2006.166;10.1109/VAST.2010.5652885,"Visual analytics, asynchronous collaboration, insight, multidimensional visualization",10.0,10.0,30.0,
VAST,2016,DropoutSeer: Visualizing learning patterns in Massive Open Online Courses for dropout reasoning and prediction,10.1109/VAST.2016.7883517,1372,"[548, 71, 1224, 105, 616, 307, 954, 667, 863]",[1610],http://dx.doi.org/10.1109/VAST.2016.7883517,111,120,C,"Aiming at massive participation and open access education, Massive Open Online Courses (MOOCs) have attracted millions of learners over the past few years. However, the high dropout rate of learners is considered to be one of the most crucial factors that may hinder the development of MOOCs. To tackle this problem, statistical models have been developed to predict dropout behavior based on learner activity logs. Although predictive models can foresee the dropout behavior, it is still difficult for users to understand the reasons behind the predicted results and further design interventions to prevent dropout. In addition, with a better understanding of dropout, researchers in the area of predictive modeling in turn can improve the models. In this paper, we introduce DropoutSeer, a visual analytics system which not only helps instructors and education experts understand the reasons for dropout, but also allows researchers to identify crucial features which can further improve the performance of the models. Both the heterogeneous data extracted from three different kinds of learner activity logs (i.e., clickstream, forum posts and assignment records) and the predicted results are visualized in the proposed system. Case studies and expert interviews have been conducted to demonstrate the usefulness and effectiveness of DropoutSeer.",Yuanzhe Chen;Qing Chen;Mingqian Zhao;Sebastien Boyer;Kalyan Veeramachaneni;Huamin Qu,Yuanzhe Chen;Qing Chen;Mingqian Zhao;Sebastien Boyer;Kalyan Veeramachaneni;Huamin Qu,"Hong Kong University of Science and Technology, China;Hong Kong University of Science and Technology, China;Hong Kong University of Science and Technology, China;Massachusetts Institute of Technology, United States of America;Massachusetts Institute of Technology, United States of America;Hong Kong University of Science and Technology, China",10.1109/INFVIS.1999.801851;10.1109/TVCG.2015.2468151;10.1109/INFVIS.2000.885098;10.1109/VAST.2010.5652931;10.1109/TVCG.2010.129;10.1109/VAST.2012.6400557;10.1109/INFVIS.2001.963273;10.1109/TVCG.2013.221;10.1109/TVCG.2007.70515;10.1109/TVCG.2011.239,,4.0,8.0,41.0,
