Conference,Year,Title,DOI,id,cite_to_list,cited_by_list,Link,FirstPage,LastPage,PaperType,Abstract,AuthorNames-Deduped,AuthorNames,AuthorAffiliation,InternalReferences,AuthorKeywords,AminerCitationCount_02-2020,XploreCitationCount - 2020-01,PubsCited,Award
InfoVis,1995,Visualisation for functional design,10.1109/INFVIS.1995.528680,0,[],[990],http://dx.doi.org/10.1109/INFVIS.1995.528680,4,10,C,"We present two novel visualisation tools: the Influence Explorer and the Prosection Matrix. These were specifically created to support engineering artifact design and similar tasks in which a set of parameter values must be chosen to lead to acceptable artifact performance. These tools combine two concepts. One is the interactive and virtually immediate responsive display of data in a manner conducive to the acquisition of insight. The other, involving the precalculation of samples of artifact performance, facilitates smooth exploration and optimisation leading to a design decision. The anticipated benefits of these visualisation tools are illustrated by an example taken from electronic circuit design, in which full account must be taken of the uncertainties in parameter values arising from inevitable variations in the manufacturing process.",Robert Spence;Lisa Tweedie;Huw Dawkes;Hua Su,B. Spence;L. Tweedie;H. Dawkes;Hua Su,"Dept. of Electr. Eng., Imperial Coll. of Sci., Technol. & Med., London, UK;Dept. of Electr. Eng., Imperial Coll. of Sci., Technol. & Med., London, UK;Dept. of Electr. Eng., Imperial Coll. of Sci., Technol. & Med., London, UK;Dept. of Electr. Eng., Imperial Coll. of Sci., Technol. & Med., London, UK",,,,12.0,10.0,
InfoVis,1995,Towards a generative theory of diagram design,10.1109/INFVIS.1995.528681,1,[],[],http://dx.doi.org/10.1109/INFVIS.1995.528681,11,18,C,"We describe the theoretical background for AVE, an automatic visualization engine for semantic networks. We have a functional notion of aesthetics and therefore understand meaningfulness as a central issue for information visualization. This implies that the diagrams should communicate the characteristics of the data as effectively as possible. In this generative theory of diagram design, we include data characterization, systematic use of graphical means of expression and the combination of graphical means of expression. After giving a brief introduction and an application scenario we discuss these aspects in detail. Finally, a process model of an automatic visualization process is sketched and directions for further research are outlined.",Klaus Reichenberger;Thomas Kamps;Gene Golovchinsky,K. Reichenberger;T. Kamps;G. Golovchinsky,"GMD-Inst. for Integrated Publication & Inf. Sci., Darmstadt, Germany;GMD-Inst. for Integrated Publication & Inf. Sci., Darmstadt, Germany;GMD-Inst. for Integrated Publication & Inf. Sci., Darmstadt, Germany",10.1109/VISUAL.1995.480815,,12.0,4.0,18.0,
InfoVis,1995,Research report: information animation applications in the capital markets,10.1109/INFVIS.1995.528682,2,[],"[32, 52]",http://dx.doi.org/10.1109/INFVIS.1995.528682,19,25,C,"3D computer graphics can be extremely expressive. It is possible to display an entire securities market, like the S&amp;P 500, on a single screen. With the correct approach to the visual design of the layout, these massive amounts of information can be quickly and easily comprehended by a human observer. By using motion and animated interaction, it is possible to use 3D as a reliable, accurate and precise decision-support tool. Information animation applications are particularly suited to the securities industry because that is where we find huge amounts of data, the value of which declines rapidly with time, and where critical decisions are being made on this data in very short periods of time. Information animation technology is an important new tool for the securities industry, where people need to be in the decision-making loop without suffering from information overload. Several examples are discussed including equity trading analytics, fixed income trading analytics and fixed-income risk viewing.",W. Wright,W. Wright,"Visible Decisions Inc., Toronto, Ont., Canada",,,24.0,7.0,10.0,
InfoVis,1995,Research report: improving browsing in information by the automatic display layout,10.1109/INFVIS.1995.528683,3,[],[],http://dx.doi.org/10.1109/INFVIS.1995.528683,26,33,C,"It is well known that graphical representations could be very helpful to browse in graph structured information. But this promising approach requires the capability of an automatic layout system because the tedious and time consuming task of a manual layout leads to a rejection of this approach by the user. In our approach, we split the task of retrieving information into two phases that are getting the orientation within the network and reading currently visited information. We present layout algorithms for both phases which have the benefit of being flexible and adaptable to individual user requests and ensure the topological consistency, i.e. the stability of the topology of the information layout during a sequence of display layouts. The results show that especially the possibility of an animation of the layout process can assist the user essentially in maintaining the orientation in the information network.",Peter Lüders;Rolf Ernst,P. Luders;R. Ernst,"Tech. Univ. Braunschweig, Germany;Tech. Univ. Braunschweig, Germany",,,5.0,2.0,15.0,
InfoVis,1995,SDM: malleable information graphics,10.1109/INFVIS.1995.528684,4,[],"[21, 50, 83]",http://dx.doi.org/10.1109/INFVIS.1995.528684,36,42,C,"Selective dynamic manipulation (SDM) is a paradigm for interacting with objects in visualizations. Its methods offer a high degree of selectivity, in choosing object sets, in the selection of interactive techniques and the properties they affect, and in the degree to which a user action affects the visualization. Our goal is to provide a flexible set of techniques and feedback mechanisms that enable users to move objects and transform their appearance to perform a variety of information analysis tasks.",Mei C. Chuah;Steven F. Roth;Joe Mattis;John Kolojejchick,M.C. Chuah;S.F. Roth;J. Mattis;J. Kolojejchick,"Sch. of Comput. Sci., Carnegie Mellon Univ., Pittsburgh, PA, USA;Sch. of Comput. Sci., Carnegie Mellon Univ., Pittsburgh, PA, USA;Sch. of Comput. Sci., Carnegie Mellon Univ., Pittsburgh, PA, USA;Sch. of Comput. Sci., Carnegie Mellon Univ., Pittsburgh, PA, USA",,"Interactive techniques, visualization, direct manipulation",,5.0,16.0,
InfoVis,1995,The information mural: a technique for displaying and navigating large information spaces,10.1109/INFVIS.1995.528685,5,[],"[126, 127, 261, 312, 481, 571, 734, 862, 1067, 1087]",http://dx.doi.org/10.1109/INFVIS.1995.528685,43,50,C,"Visualizations which depict entire information spaces provide context for navigation and browsing tasks; however, the limited size of the display screen makes creating effective global views difficult. We have developed a technique for displaying and navigating large information spaces. The key concept is the use of an information mural, a two-dimensional reduced representation of an entire information space that fits completely within a display window or screen. Information murals use grayscale shading and color along with anti-aliasing techniques to create a miniature version of the entire data set. By incorporating navigational capabilities, information murals become a tool that can be used as a global view along with more detailed informational displays. Information murals are utilized in our software visualization research to help depict the execution of object-oriented programs, and can also be used in more general information visualization applications.",Dean F. Jerding;John T. Stasko,D.F. Jerding;J.T. Stasko,"Coll. of Comput., Georgia Inst. of Technol., Atlanta, GA, USA;Coll. of Comput., Georgia Inst. of Technol., Atlanta, GA, USA",10.1109/VISUAL.1994.346322,,65.0,15.0,19.0,
InfoVis,1995,Visualizing the non-visual: spatial analysis and interaction with information from text documents,10.1109/INFVIS.1995.528686,6,[],"[32, 38, 47, 49, 50, 60, 68, 69, 70, 73, 86, 100, 101, 102, 105, 147, 167, 191, 206, 216, 289, 321, 330, 347, 348, 351, 354, 417, 419, 461, 478, 516, 555, 618, 797, 801, 930, 1012, 1052, 1096, 1186, 1190, 1198, 1200, 1296, 1362, 1612]",http://dx.doi.org/10.1109/INFVIS.1995.528686,51,58,C,"The paper describes an approach to IV that involves spatializing text content for enhanced visual browsing and analysis. The application arena is large text document corpora such as digital libraries, regulations and procedures, archived reports, etc. The basic idea is that text content from these sources may be transformed to a spatial representation that preserves informational characteristics from the documents. The spatial representation may then be visually browsed and analyzed in ways that avoid language processing and that reduce the analysts mental workload. The result is an interaction with text that more nearly resembles perception and action with the natural world than with the abstractions of written language.",James A. Wise;James J. Thomas;Kelly Pennock;D. Lantrip;M. Pottier;Anne Schur;V. Crow,J.A. Wise;J.J. Thomas;K. Pennock;D. Lantrip;M. Pottier;A. Schur;V. Crow,"Pacific Northwest Lab., Richland, WA, USA;Pacific Northwest Lab., Richland, WA, USA;Pacific Northwest Lab., Richland, WA, USA;Pacific Northwest Lab., Richland, WA, USA;Pacific Northwest Lab., Richland, WA, USA;Pacific Northwest Lab., Richland, WA, USA;Pacific Northwest Lab., Richland, WA, USA",10.1109/VISUAL.1993.398863,,522.0,210.0,11.0,TT
InfoVis,1995,VRMosaic: WEB access from within a virtual environment,10.1109/INFVIS.1995.528687,7,[],[],http://dx.doi.org/10.1109/INFVIS.1995.528687,59,64,C,"Virtual reality can aid in designing large and complex structures such as ships, skyscrapers, factories, and aircraft. But before VR can realize this potential, we need to solve a number of problems. One of these problems: the user's need to see and interact with non-geometric information is examined. Our VR environment, RealEyes, can display large-scale and detailed geometry at reasonable frame rates (&gt;20 Hz) allowing a user to see and navigate within a design from a first person perspective. However, much (if not most) of the information associated with a particular design has no geometric representation. This includes information such as schematics of electrical, hydraulic, and plumbing systems; information describing materials or processes; and descriptive (textual) information of other types. Many researchers have developed a wealth of techniques for presenting such data on flat-screen displays, but until recently, we have not had a means for naturally displaying such information within a VR environment. To make non-geometric data more available, we have implemented a version of Mosaic that functions within a fully immersive VR system. Our system, VRMosaic, allows a user of VR to access and display most of the data available using flat screen Mosaic. Moreover, we have made it extensible to allow for the seamless integration of specialized forms of data and interaction. This paper describes how we implemented VRMosaic using a VR-capable version of Interviews, It also describes some Mosaic-like uses of that system and some ""non-Mosaic-like"" extensions.",Ian G. Angus;Henry Sowizral,I.G. Angus;H.A. Sowizral,"Inf. & Support Services, Boeing Co., Seattle, WA, USA;Inf. & Support Services, Boeing Co., Seattle, WA, USA",,"Virtual Reality, Mosaic, User Interface Components",3.0,1.0,13.0,
InfoVis,1995,IVEE: an Information Visualization and Exploration Environment,10.1109/INFVIS.1995.528688,8,[],"[20, 46, 47, 48, 49, 62, 91, 109, 113, 208, 635, 1599]",http://dx.doi.org/10.1109/INFVIS.1995.528688,66,73,C,"The Information Visualization and Exploration Environment (NEE) is a system for automatic creation of dynamic queries applications. IVEE imports database relations and automatically creates environments holding visualizations and query devices. IVEE offers multiple visualizations such as maps and starfields, and multiple query devices, such as sliders, alphasliders, and toggles. Arbitrary graphical objects can be attached to database objects in visualizations. Multiple visualizations may be active simultaneously. Users can interactively lay out and change between types of query devices. Users may retrieve details-on-demand by clicking on visualization objects. An HTML file may be provided along with the database, specifying how details-on-demand information should be presented, allowing for presentation of multimedia information in database objects. Finally, multiple IVEE clients running on separate workstations on a network can communicate by letting one user's actions affect the visualization in an another IVEE client.",Christopher Ahlberg;Erik Wistrand,C. Ahlberg;E. Wistrand,"Dept. of Comput. Sci., Chalmers Univ. of Technol., Goteborg, Sweden;Dept. of Comput. Sci., Chalmers Univ. of Technol., Goteborg, Sweden",10.1109/VISUAL.1991.175815;10.1109/VISUAL.1993.398863,,178.0,56.0,28.0,
InfoVis,1995,Research report. Interacting with huge hierarchies: beyond cone trees,10.1109/INFVIS.1995.528689,9,[],"[20, 37, 38, 55, 73, 79, 122]",http://dx.doi.org/10.1109/INFVIS.1995.528689,74,81,C,"The paper describes an implementation of a tool for visualizing and interacting with huge information hierarchies, and some preliminary empirical evaluation of the tool's efficacy. Existing systems for visualizing huge hierarchies using cone trees ""break down"" once the hierarchy to be displayed exceeds roughly 1000 nodes, due to increasing visual clutter. The paper describes a system called fsviz which visualizes arbitrarily large hierarchies while retaining user control. This is accomplished by augmenting cone trees with several graphical and interaction techniques: usage-based filtering, animated zooming, hand-coupled rotation, fish-eye zooming, coalescing of distant nodes, texturing, effective use of colour for depth cueing, and the applications of dynamic queries. The fsviz system also improves upon earlier cone tree visualization systems through a more elaborate node layout algorithm. This algorithm enhances the usefulness of cone tree visualization for large hierarchies by all but eliminating clutter.",S. Jeromy Carrière;Rick Kazman,J. Carriere;R. Kazman,"Dept. of Comput. Sci., Waterloo Univ., Ont., Canada;Dept. of Comput. Sci., Waterloo Univ., Ont., Canada",,,88.0,25.0,10.0,
